country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",09-08-2026 14:00:00,19.786089,72.757971,OZONE,26,47,35
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",09-08-2026 14:00:00,19.9775302,79.2337086,SO2,NA,NA,NA
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",09-08-2026 14:00:00,19.9629,79.298714,PM2.5,20,67,41
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",09-08-2026 14:00:00,18.39963,76.57452,CO,11,15,13
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",09-08-2026 14:00:00,18.1023399,73.4783687,NH3,7,8,8
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",09-08-2026 14:00:00,20.555712,74.529236,PM2.5,23,47,35
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",09-08-2026 14:00:00,20.555712,74.529236,SO2,0,3,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",09-08-2026 14:00:00,19.296481,72.840923,PM2.5,18,41,29
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",09-08-2026 14:00:00,19.296481,72.840923,NH3,1,2,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",09-08-2026 14:00:00,19.296481,72.840923,SO2,2,3,3
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",09-08-2026 14:00:00,18.96702,72.84214,PM10,44,62,52
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",09-08-2026 14:00:00,18.96702,72.84214,OZONE,18,20,19
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",09-08-2026 14:00:00,19.19709,72.82204,PM10,16,41,26
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",09-08-2026 14:00:00,19.0364585,72.8954371,PM2.5,10,28,18
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",09-08-2026 14:00:00,19.0364585,72.8954371,NH3,13,23,18
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",09-08-2026 14:00:00,20.555712,74.529236,SO2,0,3,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",09-08-2026 14:00:00,19.296481,72.840923,PM2.5,18,41,29
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",09-08-2026 14:00:00,19.296481,72.840923,NH3,1,2,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",09-08-2026 14:00:00,19.296481,72.840923,SO2,2,3,3
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",09-08-2026 14:00:00,18.96702,72.84214,PM10,44,62,52
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",09-08-2026 14:00:00,18.96702,72.84214,OZONE,18,20,19
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",09-08-2026 14:00:00,19.19709,72.82204,PM10,16,41,26
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",09-08-2026 14:00:00,19.0364585,72.8954371,PM2.5,10,28,18
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",09-08-2026 14:00:00,20.939198,77.765701,NO2,3,13,6
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",09-08-2026 14:00:00,20.9402359,77.7895248,PM10,45,81,64
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",09-08-2026 14:00:00,20.9402359,77.7895248,CO,5,18,16
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",09-08-2026 14:00:00,19.87562,75.38731,NO2,9,12,11
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",09-08-2026 14:00:00,19.87562,75.38731,NH3,1,2,1
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",09-08-2026 14:00:00,19.16485,73.23409,PM2.5,7,21,12
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",09-08-2026 14:00:00,19.16485,73.23409,NO2,22,24,23
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",09-08-2026 14:00:00,19.16485,73.23409,NH3,2,12,10
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",09-08-2026 14:00:00,19.0243902,73.0406721,PM10,3,21,8
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",09-08-2026 14:00:00,19.0243902,73.0406721,NO2,12,23,18
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",09-08-2026 14:00:00,19.309073,73.057223,PM2.5,18,19,18
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",09-08-2026 14:00:00,19.786089,72.757971,SO2,4,6,5
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",09-08-2026 14:00:00,21.14472,79.107595,NO2,9,19,13
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",09-08-2026 14:00:00,19.173852,77.296291,NH3,3,6,4
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",09-08-2026 14:00:00,19.9591346,73.7788008,PM2.5,8,26,15
